127.0.0.1 - - [16/Jun/2021:09:24:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:24:58 +0900] "GET /Lecture-Web/javascript/DOM/HW02.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:24:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:28:27 +0900] "GET /Lecture-Web/javascript/DOM/HW01_adjusted.html HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:30:48 +0900] "GET /Lecture-Web/javascript/DOM/HW01_adjusted.html HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:32:13 +0900] "GET /Lecture-Web/javascript/DOM/HW01_adjusted.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:36:43 +0900] "GET /Lecture-Web/javascript/DOM/exam07.html HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:38:49 +0900] "GET /Lecture-Web/javascript/DOM/exam07.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:41:14 +0900] "GET /Lecture-Web/javascript/DOM/exam07.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:45:02 +0900] "GET /Lecture-Web/javascript/DOM/exam07.html HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [16/Jun/2021:10:09:27 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [16/Jun/2021:10:09:31 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html? HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [16/Jun/2021:10:17:46 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/Jun/2021:10:17:49 +0900] "GET /Lecture-Web/javascript/DOM/exam08.html?id=1234&pwd=1234&pwdCheck=1234 HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [16/Jun/2021:10:24:37 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [16/Jun/2021:10:24:46 +0900] "GET /Lecture-Web/javascript/DOM/exam08.html?id=gr&pwd=g&pwdCheck=g HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:10:33 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:10:34 +0900] "GET /Lecture-Web/javascript/DOM/exam08.html?id=&pwd=&pwdCheck= HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:10:53 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:24:03 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:24:04 +0900] "GET /Lecture-Web/javascript/DOM/exam08.html?id=&pwd=&pwdCheck= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:24:15 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:24:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:24:51 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:24:55 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:25:40 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:26:33 +0900] "GET /Lecture-Web/javascript/DOM/exam09.html HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:32:26 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:32:29 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html?hobby=music&hobby=movie HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:36:58 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:49:24 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:54:36 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:54:40 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:54:59 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:55:09 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:55:14 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:55:15 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:55:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:55:15 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:55:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:55:16 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:55:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:55:26 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:55:35 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:56:59 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [16/Jun/2021:11:57:04 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:25:42 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:26:00 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:26:11 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:26:22 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:26:26 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:26:45 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:28:40 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:33:08 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:40:05 +0900] "GET /Lecture-Web/javascript/DOM/exam10.html HTTP/1.1" 200 1880
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:12 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:48 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:51 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:51 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:13:45:51 +0900] "GET /Lecture-Web/javascript/DOM/exam11.html? HTTP/1.1" 304 -
