dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
2020-12-14,14,12,2020,718,7,South_Korea,KR,KOR,51225321,Asia,18.12189718
2020-12-13,13,12,2020,1030,2,South_Korea,KR,KOR,51225321,Asia,17.45621077
2020-12-12,12,12,2020,950,6,South_Korea,KR,KOR,51225321,Asia,16.32200606
2020-12-11,11,12,2020,688,8,South_Korea,KR,KOR,51225321,Asia,15.42010835
2020-12-10,10,12,2020,666,8,South_Korea,KR,KOR,51225321,Asia,15.18780136
2020-12-09,9,12,2020,677,4,South_Korea,KR,KOR,51225321,Asia,15.02577212
2020-12-08,8,12,2020,594,3,South_Korea,KR,KOR,51225321,Asia,14.44988505
2020-12-07,7,12,2020,615,4,South_Korea,KR,KOR,51225321,Asia,13.97160596
2020-12-06,6,12,2020,631,5,South_Korea,KR,KOR,51225321,Asia,13.30006307
2020-12-05,5,12,2020,583,4,South_Korea,KR,KOR,51225321,Asia,12.71246304
2020-12-04,4,12,2020,629,7,South_Korea,KR,KOR,51225321,Asia,12.32788761
2020-12-03,3,12,2020,540,3,South_Korea,KR,KOR,51225321,Asia,11.80861317
2020-12-02,2,12,2020,511,0,South_Korea,KR,KOR,51225321,Asia,11.42403773
2020-12-01,1,12,2020,451,0,South_Korea,KR,KOR,51225321,Asia,11.03751014
2020-11-30,30,11,2020,377,3,South_Korea,KR,KOR,51225321,Asia,10.60413072
2020-11-29,29,11,2020,449,1,South_Korea,KR,KOR,51225321,Asia,10.30349815
2020-11-28,28,11,2020,488,6,South_Korea,KR,KOR,51225321,Asia,9.83302769
2020-11-27,27,11,2020,569,1,South_Korea,KR,KOR,51225321,Asia,9.28056654
2020-11-26,26,11,2020,583,2,South_Korea,KR,KOR,51225321,Asia,8.54265023
2020-11-25,25,11,2020,382,3,South_Korea,KR,KOR,51225321,Asia,7.68370002
2020-11-24,24,11,2020,349,1,South_Korea,KR,KOR,51225321,Asia,7.22299036
2020-11-23,23,11,2020,271,4,South_Korea,KR,KOR,51225321,Asia,6.73690263
2020-11-22,22,11,2020,330,2,South_Korea,KR,KOR,51225321,Asia,6.4538395
2020-11-21,21,11,2020,386,2,South_Korea,KR,KOR,51225321,Asia,6.08878566
2020-11-20,20,11,2020,363,3,South_Korea,KR,KOR,51225321,Asia,5.50899427
2020-11-19,19,11,2020,343,2,South_Korea,KR,KOR,51225321,Asia,5.08342349
2020-11-18,18,11,2020,313,2,South_Korea,KR,KOR,51225321,Asia,4.65785271
2020-11-17,17,11,2020,229,0,South_Korea,KR,KOR,51225321,Asia,4.27718159
2020-11-16,16,11,2020,223,1,South_Korea,KR,KOR,51225321,Asia,3.97654902
2020-11-15,15,11,2020,208,1,South_Korea,KR,KOR,51225321,Asia,3.73057692
2020-11-14,14,11,2020,205,4,South_Korea,KR,KOR,51225321,Asia,3.56659551
2020-11-13,13,11,2020,191,1,South_Korea,KR,KOR,51225321,Asia,3.41237491
2020-11-12,12,11,2020,143,0,South_Korea,KR,KOR,51225321,Asia,3.26205862
2020-11-11,11,11,2020,146,2,South_Korea,KR,KOR,51225321,Asia,3.22691975
2020-11-10,10,11,2020,100,5,South_Korea,KR,KOR,51225321,Asia,3.14297689
2020-11-09,9,11,2020,126,2,South_Korea,KR,KOR,51225321,Asia,3.11955097
2020-11-08,8,11,2020,143,1,South_Korea,KR,KOR,51225321,Asia,3.10588586
2020-11-07,7,11,2020,89,1,South_Korea,KR,KOR,51225321,Asia,2.94580877
2020-11-06,6,11,2020,145,1,South_Korea,KR,KOR,51225321,Asia,2.92238286
2020-11-05,5,11,2020,125,1,South_Korea,KR,KOR,51225321,Asia,2.94190445
2020-11-04,4,11,2020,118,2,South_Korea,KR,KOR,51225321,Asia,2.9301915
2020-11-03,3,11,2020,75,4,South_Korea,KR,KOR,51225321,Asia,2.87748319
2020-11-02,2,11,2020,97,2,South_Korea,KR,KOR,51225321,Asia,2.84429648
2020-11-01,1,11,2020,124,2,South_Korea,KR,KOR,51225321,Asia,2.80330113
2020-10-31,31,10,2020,126,0,South_Korea,KR,KOR,51225321,Asia,2.73887986
2020-10-30,30,10,2020,114,2,South_Korea,KR,KOR,51225321,Asia,2.6354154
2020-10-29,29,10,2020,125,1,South_Korea,KR,KOR,51225321,Asia,2.50462071
2020-10-28,28,10,2020,103,1,South_Korea,KR,KOR,51225321,Asia,2.45386456
2020-10-27,27,10,2020,88,3,South_Korea,KR,KOR,51225321,Asia,2.41677353
2020-10-26,26,10,2020,119,0,South_Korea,KR,KOR,51225321,Asia,2.44410377
2020-10-25,25,10,2020,61,0,South_Korea,KR,KOR,51225321,Asia,2.40115626
2020-10-24,24,10,2020,77,2,South_Korea,KR,KOR,51225321,Asia,2.39529978
2020-10-23,23,10,2020,155,2,South_Korea,KR,KOR,51225321,Asia,2.38553898
2020-10-22,22,10,2020,119,3,South_Korea,KR,KOR,51225321,Asia,2.18837086
2020-10-21,21,10,2020,91,3,South_Korea,KR,KOR,51225321,Asia,2.09076289
2020-10-20,20,10,2020,58,3,South_Korea,KR,KOR,51225321,Asia,2.13566256
2020-10-19,19,10,2020,76,0,South_Korea,KR,KOR,51225321,Asia,2.16884927
2020-10-18,18,10,2020,91,1,South_Korea,KR,KOR,51225321,Asia,2.16299279
2020-10-17,17,10,2020,73,2,South_Korea,KR,KOR,51225321,Asia,2.11028448
2020-10-16,16,10,2020,47,2,South_Korea,KR,KOR,51225321,Asia,2.1141888
2020-10-15,15,10,2020,99,1,South_Korea,KR,KOR,51225321,Asia,2.29573964
2020-10-14,14,10,2020,84,4,South_Korea,KR,KOR,51225321,Asia,2.10247584
2020-10-13,13,10,2020,102,1,South_Korea,KR,KOR,51225321,Asia,2.15908847
