"","가전_가구","가정생활_서비스","교육_학원","미용","스포츠_문화_레저","여행_교통","요식_유흥","유통","음_식료품","의료","자동차","주유","패션_잡화"
"60",230,436,279,631,1770,209,10640,12612,1388,2525,382,2009,435
"59",207,228,226,652,1895,230,10796,13393,1241,500,246,2015,520
"58",254,489,301,772,2072,260,12310,14342,1606,2415,406,2183,610
"57",280,565,420,560,1476,185,12346,13933,1660,3130,437,2300,463
"56",275,527,389,485,1263,177,11381,13656,1540,2917,412,2113,406
"55",269,534,403,479,1274,172,11189,13166,1514,2902,410,2078,381
"54",312,520,417,441,1196,167,11130,13821,1539,3064,413,2104,385
"53",330,1536,446,456,1221,167,10421,13387,1502,3764,413,2143,354
"52",203,234,225,664,1967,233,11054,12169,1355,463,262,1968,551
"51",250,522,285,773,2078,252,12223,14410,1601,2423,408,2186,608
"50",265,597,375,538,1422,186,12000,13499,1590,3078,425,2294,419
"49",264,504,418,465,1257,177,11129,13085,1481,2846,405,2093,378
"48",624,788,510,419,1171,169,10473,12549,1354,2675,375,1913,319
"47",272,519,532,431,1224,166,11012,13093,1476,2989,403,2065,384
"46",277,568,638,458,1244,169,10346,12913,1461,3599,414,2122,369
"45",208,240,226,657,1961,233,10876,13490,1250,475,264,1942,557
"44",260,504,303,842,2175,254,12510,14519,1633,2357,437,2283,665
"43",627,875,437,533,1384,184,11473,13130,1463,2850,400,2177,380
"42",265,483,464,510,1326,182,11383,13883,1482,2692,392,2126,376
"41",267,518,412,479,1285,173,11019,13000,1467,2667,397,2151,348
"40",277,499,424,404,1274,165,10526,12672,1399,2797,385,2057,330
"39",1020,1131,495,439,1378,164,10131,13353,1418,3353,400,2054,347
"38",212,221,294,663,2016,226,10535,12361,1253,408,237,1694,540
"37",273,589,378,805,2348,245,12732,15207,1639,2275,444,2208,714
"36",344,543,419,554,1603,182,12042,13729,1546,2809,435,2239,452
"35",267,543,495,481,1486,167,11015,13416,1438,2607,410,2075,389
"34",272,559,604,466,1515,164,10631,13131,1401,2677,400,2000,363
"33",293,921,784,433,1443,161,10375,13629,1378,2887,404,2009,352
"32",275,608,1010,485,1524,163,10403,13423,1366,3472,439,2040,382
"31",208,228,377,724,1931,227,10338,13817,1208,432,234,1828,569
"30",259,477,385,827,2245,287,12040,14559,1603,2316,397,2067,682
"29",231,387,271,767,2212,315,12035,14244,1541,624,327,2114,668
"28",266,584,483,589,1652,226,11938,13861,1437,3018,447,2338,450
"27",235,533,437,540,1504,204,11126,12692,1339,2773,425,2083,407
"26",267,503,425,487,1463,206,10940,13315,1323,2866,427,2106,400
"25",292,1518,433,512,1420,207,10305,12865,1316,3386,430,2106,389
"24",201,232,202,631,1975,273,10716,11813,1264,370,258,1863,533
"23",253,483,282,775,2102,289,12168,13997,1520,2109,432,2207,616
"22",241,558,401,558,1543,209,11595,12738,1382,2867,434,2244,417
"21",230,473,441,502,1398,203,10764,12117,1255,2657,414,2138,385
"20",578,805,563,486,1366,194,10494,12125,1253,2652,407,2120,370
"19",213,419,589,402,1222,190,9689,11422,1195,2576,343,1787,302
"18",229,508,750,449,1281,200,9645,12481,1393,3314,401,2113,342
