이용일자,업종대분류코드,카드결제건수
20190101,1,149
20190101,2,189
20190101,3,142
20190101,4,464
20190101,5,1752
20190101,6,260
20190101,7,9264
20190101,8,11307
20190101,9,1192
20190101,10,432
20190101,11,186
20190101,12,1782
20190101,12,415
20190102,1,239
20190102,2,566
20190102,3,551
20190102,4,521
20190102,5,1409
20190102,6,182
20190102,7,9481
20190102,8,12162
20190102,9,1241
20190102,10,3408
20190102,11,404
20190102,12,2093
20190102,12,382
20190103,1,228
20190103,2,552
20190103,3,491
20190103,4,500
20190103,5,1355
20190103,6,189
20190103,7,10082
20190103,8,12042
20190103,9,1285
20190103,10,3020
20190103,11,398
20190103,12,2114
20190103,12,384
20190104,1,239
20190104,2,463
20190104,3,426
20190104,4,525
20190104,5,1430
20190104,6,197
20190104,7,10948
20190104,8,12463
20190104,9,1376
20190104,10,3091
20190104,11,406
20190104,12,2203
20190104,12,410
20190105,1,239
20190105,2,441
20190105,3,294
20190105,4,748
20190105,5,1937
20190105,6,273
20190105,7,11327
20190105,8,13251
20190105,9,1499
20190105,10,2293
20190105,11,391
20190105,12,2106
20190105,12,573
20190106,1,184
20190106,2,210
20190106,3,188
20190106,4,626
20190106,5,1739
20190106,6,252
20190106,7,9644
20190106,8,12117
20190106,9,1126
20190106,10,438
20190106,11,211
20190106,12,1751
20190106,12,462
20190107,1,266
20190107,2,885
20190107,3,466
20190107,4,464
20190107,5,1229
20190107,6,188
20190107,7,9650
20190107,8,12471
20190107,9,1300
20190107,10,3539
20190107,11,397
20190107,12,2075
20190107,12,349
20190108,1,295
20190108,2,460
20190108,3,394
20190108,4,450
20190108,5,1216
20190108,6,191
20190108,7,10055
20190108,8,12121
20190108,9,1271
20190108,10,2883
20190108,11,386
20190108,12,2075
20190108,12,355
20190109,1,221
20190109,2,472
20190109,3,351
20190109,4,504
20190109,5,1228
20190109,6,191
20190109,7,10246
20190109,8,11784
20190109,9,1291
20190109,10,2695
20190109,11,381
20190109,12,2063
20190109,12,363
20190110,1,956
20190110,2,919
20190110,3,342
20190110,4,542
20190110,5,1277
20190110,6,199
20190110,7,10593
20190110,8,12314
20190110,9,1308
20190110,10,2720
20190110,11,375
20190110,12,2073
20190110,12,391
20190111,1,240
20190111,2,473
20190111,3,314
20190111,4,598
20190111,5,1413
20190111,6,212
20190111,7,11398
20190111,8,13047
20190111,9,1447
20190111,10,2930
20190111,11,402
20190111,12,2208
20190111,12,427
20190112,1,247
20190112,2,431
20190112,3,231
20190112,4,840
20190112,5,1991
20190112,6,299
20190112,7,11642
20190112,8,13677
20190112,9,1559
20190112,10,2179
20190112,11,390
20190112,12,2077
20190112,12,574
20190113,1,192
20190113,2,214
20190113,3,161
20190113,4,645
20190113,5,1844
20190113,6,278
20190113,7,10051
20190113,8,11356
20190113,9,1257
20190113,10,398
20190113,11,223
20190113,12,1769
20190113,12,474
20190114,1,229
20190114,2,481
20190114,3,439
20190114,4,457
20190114,5,1193
20190114,6,196
20190114,7,9478
20190114,8,12205
20190114,9,1302
20190114,10,3459
20190114,11,381
20190114,12,2034
20190114,12,330
20190115,1,602
20190115,2,842
20190115,3,423
20190115,4,429
20190115,5,1180
20190115,6,201
20190115,7,9978
20190115,8,12058
20190115,9,1284
20190115,10,2804
20190115,11,374
20190115,12,2050
20190115,12,332
20190116,1,224
20190116,2,475
20190116,3,506
20190116,4,482
20190116,5,1199
20190116,6,201
20190116,7,10364
20190116,8,12233
20190116,9,1329
20190116,10,2646
20190116,11,378
20190116,12,2092
20190116,12,359
20190117,1,224
20190117,2,428
20190117,3,444
20190117,4,492
20190117,5,1239
20190117,6,203
20190117,7,10390
20190117,8,12382
20190117,9,1326
20190117,10,2639
20190117,11,376
20190117,12,2089
20190117,12,361
20190118,1,239
20190118,2,454
20190118,3,412
20190118,4,551
20190118,5,1379
20190118,6,215
20190118,7,11383
20190118,8,12829
20190118,9,1472
20190118,10,2868
20190118,11,401
20190118,12,2243
20190118,12,404
20190119,1,246
20190119,2,440
20190119,3,238
20190119,4,780
20190119,5,1964
20190119,6,302
20190119,7,11701
20190119,8,13563
20190119,9,1587
20190119,10,2129
20190119,11,396
20190119,12,2130
20190119,12,542
20190120,1,194
20190120,2,217
20190120,3,163
20190120,4,646
20190120,5,1783
20190120,6,278
20190120,7,9957
20190120,8,12321
20190120,9,1197
20190120,10,403
20190120,11,225
20190120,12,1791
20190120,12,440
20190121,1,597
20190121,2,795
20190121,3,511
20190121,4,465
20190121,5,1208
20190121,6,202
20190121,7,9667
20190121,8,12068
20190121,9,1360
20190121,10,3368
20190121,11,383
20190121,12,2074
20190121,12,333
20190122,1,221
20190122,2,536
20190122,3,398
20190122,4,443
20190122,5,1194
20190122,6,200
20190122,7,10306
20190122,8,12273
20190122,9,1352
20190122,10,2826
20190122,11,386
20190122,12,2063
20190122,12,346
20190123,1,221
20190123,2,478
20190123,3,360
20190123,4,488
20190123,5,1263
20190123,6,199
20190123,7,10360
20190123,8,12065
20190123,9,1369
20190123,10,2663
20190123,11,385
20190123,12,2056
20190123,12,348
20190124,1,236
20190124,2,450
20190124,3,337
20190124,4,490
20190124,5,1294
20190124,6,204
20190124,7,10502
20190124,8,12403
20190124,9,1378
20190124,10,2657
20190124,11,384
20190124,12,2085
20190124,12,361
20190125,1,297
20190125,2,1460
20190125,3,344
20190125,4,544
20190125,5,1393
20190125,6,216
20190125,7,11312
20190125,8,13044
20190125,9,1484
20190125,10,2862
20190125,11,397
20190125,12,2235
20190125,12,394
20190126,1,243
20190126,2,451
20190126,3,246
20190126,4,805
20190126,5,2096
20190126,6,297
20190126,7,11673
20190126,8,13694
20190126,9,1625
20190126,10,2131
20190126,11,401
20190126,12,2209
20190126,12,558
20190127,1,189
20190127,2,225
20190127,3,172
20190127,4,679
20190127,5,1969
20190127,6,270
20190127,7,10217
20190127,8,11454
20190127,9,1365
