이용일자,업종대분류,카드결제건수(천건)
20190101,가전/가구,149 
20190101,가정생활/서비스,189 
20190101,교육/학원,142 
20190101,미용,464 
20190101,스포츠/문화/레저,1752 
20190101,여행/교통,260 
20190101,요식/유흥,9264 
20190101,유통,11307 
20190101,음/식료품,1192 
20190101,의료,432 
20190101,자동차,186 
20190101,주유,1782 
20190101,패션/잡화,415 
20190102,가전/가구,239 
20190102,가정생활/서비스,566 
20190102,교육/학원,551 
20190102,미용,521 
20190102,스포츠/문화/레저,1409 
20190102,여행/교통,182 
20190102,요식/유흥,9481 
20190102,유통,12162 
20190102,음/식료품,1241 
20190102,의료,3408 
20190102,자동차,404 
20190102,주유,2093 
20190102,패션/잡화,382 
20190103,가전/가구,228 
20190103,가정생활/서비스,552 
20190103,교육/학원,491 
20190103,미용,500 
20190103,스포츠/문화/레저,1355 
20190103,여행/교통,189 
20190103,요식/유흥,10082 
20190103,유통,12042 
20190103,음/식료품,1285 
20190103,의료,3020 
20190103,자동차,398 
20190103,주유,2114 
20190103,패션/잡화,384 
20190104,가전/가구,239 
20190104,가정생활/서비스,463 
20190104,교육/학원,426 
20190104,미용,525 
20190104,스포츠/문화/레저,1430 
20190104,여행/교통,197 
20190104,요식/유흥,10948 
20190104,유통,12463 
20190104,음/식료품,1376 
20190104,의료,3091 
20190104,자동차,406 
20190104,주유,2203 
20190104,패션/잡화,410 
20190105,가전/가구,239 
20190105,가정생활/서비스,441 
20190105,교육/학원,294 
20190105,미용,748 
20190105,스포츠/문화/레저,1937 
20190105,여행/교통,273 
20190105,요식/유흥,11327 
20190105,유통,13251 
20190105,음/식료품,1499 
20190105,의료,2293 
20190105,자동차,391 
20190105,주유,2106 
20190105,패션/잡화,573 
20190106,가전/가구,184 
20190106,가정생활/서비스,210 
20190106,교육/학원,188 
20190106,미용,626 
20190106,스포츠/문화/레저,1739 
20190106,여행/교통,252 
20190106,요식/유흥,9644 
20190106,유통,12117 
20190106,음/식료품,1126 
20190106,의료,438 
20190106,자동차,211 
20190106,주유,1751 
20190106,패션/잡화,462 
20190107,가전/가구,266 
20190107,가정생활/서비스,885 
20190107,교육/학원,466 
20190107,미용,464 
20190107,스포츠/문화/레저,1229 
20190107,여행/교통,188 
20190107,요식/유흥,9650 
20190107,유통,12471 
20190107,음/식료품,1300 
20190107,의료,3539 
20190107,자동차,397 
20190107,주유,2075 
20190107,패션/잡화,349 
20190108,가전/가구,295 
20190108,가정생활/서비스,460 
20190108,교육/학원,394 
20190108,미용,450 
